Name;Lo3;Lo4;Lo5;In1;In2;Ol1;Ol2;Ol3
Acharax frenademezi;0;4;0;0;0;0;0;0
Avichlamys voelseckhofensis;0;0;0;0;0;4;0;0
Bakevellia albertii;0;0;0;0;0;0;2;3
Bakevellia binneyi;4;0;0;0;0;0;0;0
Bakevellia ceratophaga;0;2;1;3;0;0;0;0
Bakevellia castelli;0;0;0;0;0;0;4;0
Bakevellia costata;0;0;0;0;0;0;0;4
Bakevellia exporrecta;0;0;0;2;1;1;1;3
Bakevellia ladina;0;0;0;0;0;0;0;4
Bakevellia preromangica;0;2;3;0;0;0;0;0
Bakevellia sp.;0;0;0;4;0;0;0;0
Claraia aurita;0;0;0;0;4;0;0;0
Claraia clarae;0;0;0;2;3;0;0;0
Claraia sp.;0;0;0;4;0;0;0;0
Costatoria subrotunda;0;0;0;0;0;0;4;0
Costatoria costata;0;0;0;0;0;0;0;4
Crittendenia sp.;0;0;0;2;3;0;0;0
Edmondia hautmanni;0;4;0;0;0;0;0;0
Entolium discites;0;0;0;0;0;0;4;0
Etheripecten stuflesseri;0;4;0;0;0;0;0;0
Eumorphotis beneckei;0;0;0;0;2;1;3;0
Eumorphotis hinnitidea;0;0;0;0;0;4;0;0
Eumorphotis kittli;0;0;0;0;0;4;0;0
Eumorphotis lorigae;0;0;2;3;0;0;0;0
Eumorphotis multiformis;0;0;0;2;3;0;0;0
Eumorphotis praecurrens;4;0;0;0;0;0;0;0
Eumorphotis sp.;0;0;0;0;0;0;4;0
Eumorphotis reticulata;0;0;0;0;0;0;4;0
Eumorphotis striatocostata;0;2;3;0;0;0;0;0
Eumorphotis telleri;0;0;0;0;0;0;4;0
Eumorphotis tenuistriata;0;0;0;0;0;0;4;0
Gardenapecten comelicanus;0;2;3;0;0;0;0;0
Gardenapecten trinkeri;0;2;3;0;0;0;0;0
Grammatodon obsoletiformis;0;4;0;0;0;0;0;0
Hoernesia sp.;0;0;0;0;0;0;4;0
Homomya sp.;0;0;0;0;0;0;4;0
Ladinomya fosteri;2;1;3;0;0;0;0;0
Leptochondria albertii;0;0;0;0;0;0;4;0
Lovaralucina covidi;0;4;0;0;0;0;0;0
Lovaralucina truncata;0;4;0;0;0;0;0;0
Neoschizodus elongatus;0;0;0;0;4;0;0;0
Neoschizodus laevigatus;0;0;0;2;1;1;1;3
Neoschizodus orbicularis;0;0;0;2;1;1;1;3
Neoschizodus ovatus;0;0;0;0;0;0;2;3
Palaeolima badiotica;0;4;0;0;0;0;0;0
Permophorus bregeri;0;0;0;4;0;0;0;0
Pernopecten tirolensis;0;4;0;0;0;0;0;0
Pernopecten latangulatus;0;0;0;4;0;0;0;0
Pleuromya elongata;0;0;0;0;0;0;4;0
Promyalina eduliformis;0;0;0;0;0;0;4;0
Promyalina schamarae;0;0;0;4;0;0;0;0
Promytilus merlai;0;4;0;0;0;0;0;0
Pteria ussurica;0;0;0;0;4;0;0;0
Schizodus obscurus;0;2;3;0;0;0;0;0
Scythentolium sp.;0;0;0;0;0;0;4;0
Scythentolium sp.A;0;0;0;0;0;4;0;0
Scythentolium tirolicum;0;0;0;0;0;0;4;0
Stutchburia costata;0;4;0;0;0;0;0;0
Stutchburia sp.;0;4;0;0;0;0;0;0
Stutchburia tschernyschewi;2;1;1;1;3;0;0;0
Tambanella stetteneckensis;2;1;3;0;0;0;0;0
Towapteria peracuta;2;1;3;0;0;0;0;0
Towapteria scythica;0;0;0;4;0;0;0;0
Unionites canalensis;0;0;0;2;1;1;1;3
Unionites fassaensis;0;0;0;2;1;1;3;0
Unionites jacobi;2;1;3;0;0;0;0;0
Unionites sp;0;0;0;4;0;0;0;0
Unionites sp. 2;0;0;0;0;4;0;0;0
Vacunella elongata;2;1;3;0;0;0;0;0
Volsellina carinata;2;1;3;0;0;0;0;0
