Name;Lo3;Lo4;Lo5;In1;In2;Ol1;Ol2;Ol3
Acharax;0;4;0;0;0;0;0;0
Avichlamys;0;0;0;0;0;4;0;0
Bakevellia;2;1;1;1;1;1;1;3
Claraia;0;0;0;2;3;0;0;0
Costatoria;0;0;0;0;0;0;2;3
Crittendenia;0;0;0;2;3;0;0;0
Edmondia;0;4;0;0;0;0;0;0
Entolium;0;0;0;0;0;0;4;0
Etheripecten;0;4;0;0;0;0;0;0
Eumorphotis;2;1;1;1;1;1;3;0
Gardenapecten;0;2;3;0;0;0;0;0
Grammatodon (Cosmetodon);0;4;0;0;0;0;0;0
Hoernesia;0;0;0;0;0;0;4;0
Homomya;0;0;0;0;0;0;4;0
Ladinomya;2;1;3;0;0;0;0;0
Leptochondria;0;0;0;0;0;0;4;0
Lovaralucina;0;4;0;0;0;0;0;0
Neoschizodus;0;0;0;2;1;1;1;3
Palaeolima;0;4;0;0;0;0;0;0
Permophorus;0;0;0;4;0;0;0;0
Pernopecten;0;2;1;3;0;0;0;0
Pleuromya;0;0;0;0;0;0;4;0
Promylaina;0;0;0;2;1;1;3;0
Promytilus;0;4;0;0;0;0;0;0
Pteria;0;0;0;0;4;0;0;0
Schizodus;0;2;3;0;0;0;0;0
Scythentolium;0;0;0;0;0;2;3;0
Stutchburia;2;1;1;1;3;0;0;0
Tambanella;2;1;3;0;0;0;0;0
Towapteria;2;1;1;3;0;0;0;0
Unionites;2;1;1;1;1;1;1;3
Vacunella;2;1;3;0;0;0;0;0
Volsellina;2;1;3;0;0;0;0;0
