Worker;Subclass;Infraclass;Superorder;Order;Suborder;Superfamily;Family;ONG;Genus;ONS;Species;Name;Ecology;Section;Sample;Height;Lithology;StrSeq;StrSeq_sub;Age;Coll. No.;No. of rock sample;No. of specimen;BNM;LV;RV;Length;Height;L/H;Gsize;LN
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;3,7;7,7;0,48;5,34;1,67
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;4;7,3;0,55;5,40;1,69
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;5,6;9,9;0,57;7,45;2,01
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,3;7,6;0,57;5,72;1,74
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;;1;2,6;4,5;0,58;3,42;1,23
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;4,3;7,3;0,59;5,60;1,72
Foster;AUTOBRANCHIA;HETEROCONCHIA;PALAEOHETERODONTA;UNIONOIDA;;;ANTHRACOSIIDAE;;Unionites;;fassaensis;Unionites fassaensis;;l'Uomo;111;123;packestone;In2;;-251,39;;;;;1;;3,3;5,5;0,60;4,26;1,45
Posenato (1989);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;gr.;exporrecta;Bakevellia exporrecta;;Val Averta;4F;;;Ol3;;-248,05;;;;;;;8,5;14,5;0,60;11,10;2,40
Posenato (1989);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;gr.;exporrecta;Bakevellia exporrecta;;Val Averta;4F;;;Ol3;;-248,05;;;;;;;11,5;20;0,60;15,20;2,70
Neri and Posenato (1985);AUTOBRANCHIA;PTERIOMORPHIA;;OSTREIDA;;PTERIOIDEA;BAKEVELLIIDAE;;Bakevellia;cf.;ladina;Bakevellia ladina;;Val Averta;4F;;;Ol3;;-248,05;;;;;1;;5,9;10,5;0,60;7,80;2,10
