"";"StrSeq";"Name";"N";"LN";"sd";"se";"ci"
"1";"Lo3";"Vacunella elongata";2;2,65;0,353553390593274;0,25;3,17655118404367
"2";"Lo3";"Stutchburia tschernyschewi";13;3,00769230769231;0,658864602253425;0,182736162077916;0,398147894379514
"3";"Lo3";"Ladinomya fosteri";69;2,04782608695652;0,314646718630208;0,0378790136429355;0,075586394877685
"4";"Lo3";"Unionites jacobi";129;2,08682170542636;0,232976609931542;0,0205124467366897;0,0405873804167389
"5";"Lo3";"Volsellina carinata";11;2,01818181818182;0,218257562609784;0,0658071311667413;0,146627425690373
"6";"Lo3";"Bakevellia binneyi";39;2,37948717948718;0,365757675876923;0,0585681013782111;0,118564922621455
"7";"Lo3";"Towapteria peracuta";89;1,71797752808989;0,414389418781858;0,0439251905405837;0,0872920859720799
"8";"Lo3";"Tambanella stetteneckensis";2;1,7;1,4142135623731;1;12,7062047361747
"9";"Lo3";"Eumorphotis praecurrens";16;3,08125;0,292617497767991;0,0731543744419977;0,155924858160106
"10";"Lo4";"Vacunella elongata";15;3,14666666666667;0,184648959096005;0,0476761562315574;0,102255185216534
"11";"Lo4";"Stutchburia costata";11;2,72727272727273;0,237027041035022;0,0714663418437583;0,15923693287141
"12";"Lo4";"Stutchburia sp.";7;2,17142857142857;0,242997158517582;0,0918442929618377;0,224734888908351
"13";"Lo4";"Stutchburia tschernyschewi";44;3,05454545454545;0,289710798423263;0,0436755461856477;0,0880801332896103
"14";"Lo4";"Schizodus obscurus";105;2,8647619047619;0,168123668070762;0,0164071899934632;0,0325360734611857
"15";"Lo4";"Unionites jacobi";271;2,46494464944649;0,338608121414611;0,0205689785311582;0,040495979122489
"16";"Lo4";"Edmondia hautmanni";71;2,33943661971831;0,544709325693054;0,0646451036779659;0,128930593869631
"17";"Lo4";"Lovaralucina covidi";44;2,51818181818182;0,260832947762505;0,0393220463950273;0,0793004642225261
"18";"Lo4";"Lovaralucina truncata";1;1,6;NA;NA;NA
"19";"Lo4";"Grammatodon obsoletiformis";9;2,95555555555556;0,200693242979872;0,0668977476599572;0,154266482739706
"20";"Lo4";"Palaeolima badiotica";8;2,825;0,138873014965883;0,0490990253030983;0,116100745961274
"21";"Lo4";"Promytilus merlai";28;2,89285714285714;0,343110576527259;0,0648418041205087;0,133044392438097
"22";"Lo4";"Volsellina carinata";54;1,69814814814815;0,258800382564195;0,0352182712510755;0,0706389065238631
"23";"Lo4";"Bakevellia ceratophaga";126;2,19285714285714;0,260208707441875;0,0231812341024474;0,0458785392983505
"24";"Lo4";"Bakevellia preromangica";3;1,16666666666667;0,321455025366432;0,185592145427667;0,798538551144412
"25";"Lo4";"Towapteria peracuta";20;1,99;0,235975020979585;0,0527656187902292;0,110439709373689
"26";"Lo4";"Tambanella stetteneckensis";28;2,50714285714286;0,49360996105305;0,0932835144007606;0,191401961532009
"27";"Lo4";"Pernopecten tirolensis";27;3,2037037037037;0,316812831764072;0,0609706579005716;0,125326982208049
"28";"Lo4";"Etheripecten stuflesseri";6;2,95;0,320936130717624;0,131021626713557;0,336801813705391
"29";"Lo4";"Eumorphotis striatocostata";33;3,03030303030303;0,495911312941165;0,0863270789187106;0,175842505493033
"30";"Lo4";"Gardenapecten comelicanus";33;2,18787878787879;0,36721721752729;0,0639243124537242;0,130209563494753
"31";"Lo4";"Gardenapecten trinkeri";32;2,09375;0,410300833771452;0,072531625471572;0,147929225438259
"32";"Lo4";"Acharax frenademezi";26;3,06923076923077;0,491340395871726;0,0963597794756283;0,198456680764862
"33";"Lo5";"Vacunella elongata";1;3;NA;NA;NA
"34";"Lo5";"Schizodus obscurus";4;2,775;0,340342964277702;0,170171482138851;0,541561604597439
"35";"Lo5";"Ladinomya fosteri";157;2,28980891719745;0,3831690919123;0,0305802226788576;0,0604047318403369
"36";"Lo5";"Unionites jacobi";410;2,63463414634146;0,47015628448263;0,0232193638617149;0,0456441859114717
"37";"Lo5";"Volsellina carinata";144;1,93472222222222;0,30891632027022;0,025743026689185;0,0508860400076103
"38";"Lo5";"Bakevellia preromangica";30;1,52333333333333;0,222343836454253;0,0405942449160779;0,0830245530023572
"39";"Lo5";"Towapteria peracuta";64;1,8390625;0,219391067448496;0,027423883431062;0,054802258093654
