"";"StrSeq";"Genus";"N";"LN";"sd";"se";"ci"
"1";"Lo3";"Bakevellia";39;2,37948717948718;0,365757675876923;0,0585681013782111;0,118564922621455
"2";"Lo3";"Eumorphotis";16;3,08125;0,292617497767991;0,0731543744419977;0,155924858160106
"3";"Lo3";"Ladinomya";69;2,04782608695652;0,314646718630208;0,0378790136429355;0,075586394877685
"4";"Lo3";"Stutchburia";13;3,00769230769231;0,658864602253425;0,182736162077916;0,398147894379514
"5";"Lo3";"Tambanella";2;1,7;1,4142135623731;1;12,7062047361747
"6";"Lo3";"Towapteria";89;1,71797752808989;0,414389418781858;0,0439251905405837;0,0872920859720799
"7";"Lo3";"Unionites";129;2,08682170542636;0,232976609931542;0,0205124467366897;0,0405873804167389
"8";"Lo3";"Vacunella";2;2,65;0,353553390593274;0,25;3,17655118404367
"9";"Lo3";"Volsellina";11;2,01818181818182;0,218257562609784;0,0658071311667413;0,146627425690373
"10";"Lo4";"Acharax";26;3,06923076923077;0,491340395871726;0,0963597794756283;0,198456680764862
"11";"Lo4";"Bakevellia";129;2,16899224806202;0,303056938135292;0,0266826755849486;0,0527962323756172
"12";"Lo4";"Edmondia";71;2,33943661971831;0,544709325693054;0,0646451036779659;0,128930593869631
"13";"Lo4";"Etheripecten";6;2,95;0,320936130717624;0,131021626713557;0,336801813705391
"14";"Lo4";"Eumorphotis";33;3,03030303030303;0,495911312941165;0,0863270789187106;0,175842505493033
"15";"Lo4";"Gardenapecten";65;2,14153846153846;0,388865460222229;0,0482328241495746;0,0963561431150957
"16";"Lo4";"Grammatodon (Cosmetodon)";9;2,95555555555556;0,200693242979872;0,0668977476599572;0,154266482739706
"17";"Lo4";"Lovaralucina";45;2,49777777777778;0,291928453944151;0,0435181245057025;0,0877050170293994
"18";"Lo4";"Palaeolima";8;2,825;0,138873014965883;0,0490990253030983;0,116100745961274
"19";"Lo4";"Pernopecten";27;3,2037037037037;0,316812831764072;0,0609706579005716;0,125326982208049
"20";"Lo4";"Promytilus";28;2,89285714285714;0,343110576527259;0,0648418041205087;0,133044392438097
"21";"Lo4";"Schizodus";105;2,8647619047619;0,168123668070762;0,0164071899934632;0,0325360734611857
"22";"Lo4";"Stutchburia";62;2,89677419354839;0,397107468600367;0,0504326989449708;0,100846414265313
"23";"Lo4";"Tambanella";28;2,50714285714286;0,49360996105305;0,0932835144007606;0,191401961532009
"24";"Lo4";"Towapteria";20;1,99;0,235975020979585;0,0527656187902292;0,110439709373689
"25";"Lo4";"Unionites";271;2,46494464944649;0,338608121414611;0,0205689785311582;0,040495979122489
"26";"Lo4";"Vacunella";15;3,14666666666667;0,184648959096005;0,0476761562315574;0,102255185216534
"27";"Lo4";"Volsellina";54;1,69814814814815;0,258800382564195;0,0352182712510755;0,0706389065238631
"28";"Lo5";"Bakevellia";30;1,52333333333333;0,222343836454253;0,0405942449160779;0,0830245530023572
"29";"Lo5";"Eumorphotis";51;2,93921568627451;0,344719266286379;0,0482703523161565;0,0969538559889302
"30";"Lo5";"Gardenapecten";317;2,2589905362776;0,36312147500025;0,020394933929496;0,0401270226927319
"31";"Lo5";"Ladinomya";157;2,28980891719745;0,3831690919123;0,0305802226788576;0,0604047318403369
"32";"Lo5";"Schizodus";4;2,775;0,340342964277702;0,170171482138851;0,541561604597439
"33";"Lo5";"Tambanella";1;2,7;NA;NA;NA
"34";"Lo5";"Towapteria";64;1,8390625;0,219391067448496;0,027423883431062;0,054802258093654
"35";"Lo5";"Unionites";410;2,63463414634146;0,47015628448263;0,0232193638617149;0,0456441859114717
"36";"Lo5";"Vacunella";1;3;NA;NA;NA
"37";"Lo5";"Volsellina";144;1,93472222222222;0,30891632027022;0,025743026689185;0,0508860400076103
"38";"In1";"Bakevellia";4;2,025;0,457347424467075;0,228673712233537;0,727741810613131
"39";"In1";"Claraia";325;2,39612307692308;0,452599198174316;0,0251056864038675;0,049390737504604
"40";"In1";"Crittendenia";1;2;NA;NA;NA
"41";"In1";"Eumorphotis";12;2,68333333333333;0,525414699128799;0,151674158989099;0,333832573104387
"42";"In1";"Neoschizodus";179;1,81843575418994;0,245740820020949;0,0183675312605295;0,0362461351593519
"43";"In1";"Permophorus";9;2,03333333333333;0,206155281280883;0,0687184270936277;0,158464977042631
"44";"In1";"Pernopecten";8;2,6375;0,232609421256197;0,0822398495690675;0,194466342738359
"45";"In1";"Promyalina";1;2,4;NA;NA;NA
"46";"In1";"Pteria";25;1,852;0,302930134959642;0,0605860269919283;0,125043413963398
"47";"In1";"Towapteria";134;1,48358208955224;0,272331628289902;0,0235258694966806;0,0465332585702991
"48";"In1";"Unionites";317;1,66548895899054;0,383754970327588;0,0215538264844884;0,0424071432370481
"49";"In2";"Bakevellia";2;2,5;0;0;0
"50";"In2";"Claraia";191;3,21408376963351;0,306966607644664;0,0222113241964441;0,0438124629370538
"51";"In2";"Crittendenia";1;2,8;NA;NA;NA
"52";"In2";"Eumorphotis";7;3,04285714285714;0,276026223736942;0,10432810619146;0,255281679447395
"53";"In2";"Neoschizodus";30;1,914;0,266310681930607;0,0486214559326589;0,099442042917123
"54";"In2";"Pteria";1;2,4;NA;NA;NA
"55";"In2";"Stutchburia";1;2,5;NA;NA;NA
"56";"In2";"Unionites";560;2,27148214285714;0,462319867394736;0,0195365801487092;0,0383740791093147
"57";"Ol1";"Avichlamys";1;2,7;NA;NA;NA
"58";"Ol1";"Bakevellia";4;2,15;0,640312423743285;0,320156211871642;1,01887995358454
"59";"Ol1";"Eumorphotis";11;3,01818181818182;0,36005050150828;0,108559310825659;0,241885218195506
"60";"Ol1";"Neoschizodus";10;2,37;0,235937844922485;0,0746100976186646;0,168779766745136
"61";"Ol1";"Scythentolium";4;2,725;0,262995563967658;0,131497781983829;0,41848463042744
"62";"Ol1";"Unionites";255;1,76023529411765;0,63074379877594;0,0394987088244817;0,0777866850653267
"63";"Ol2";"Bakevellia";50;2,534;0,353137540413051;0,0499411899035214;0,100360578542885
"64";"Ol2";"Costatoria";1;2,2;NA;NA;NA
"65";"Ol2";"Entolium";1;2,9;NA;NA;NA
"66";"Ol2";"Eumorphotis";63;3,64444444444444;0,261372171790303;0,0329297983899998;0,0658257290432611
"67";"Ol2";"Hoernesia";2;3;0,14142135623731;0,1;1,27062047361747
"68";"Ol2";"Homomya";1;3,2;NA;NA;NA
"69";"Ol2";"Leptochondria";3;2,76666666666667;0,0577350269189624;0,0333333333333332;0,143421757658315
"70";"Ol2";"Neoschizodus";16;2,53125;0,31773941104832;0,07943485276208;0,169311380821343
"71";"Ol2";"Pleuromya";1;3,1;NA;NA;NA
"72";"Ol2";"Promyalina";2;2,95;0,0707106781186548;0,05;0,635310236808735
"73";"Ol2";"Scythentolium";2;3,2;0,141421356237309;0,0999999999999999;1,27062047361747
"74";"Ol2";"Unionites";5;3,04;0,336154726279432;0,150332963783729;0,417391221447212
"75";"Ol3";"Bakevellia";30;2,26333333333333;0,283431355593084;0,0517472489875334;0,105835007528125
"76";"Ol3";"Costatoria";2;2,3;0,565685424949238;0,4;5,08248189446988
"77";"Ol3";"Neoschizodus";8;2,7;0,392792202424786;0,138873014965883;0,328382499080134
"78";"Ol3";"Unionites";2;2,25;0,919238815542512;0,65;8,25903307851355
